Economic Activities,Time Period,Percentage change in the Industrial Production Index
Mining and Quarrying,2021 / 01,-6.23
Manufacturing Industry,2021 / 01,-10.62
Industrial Production Index,2020 / 01,-6.68
Industrial Production Index,5/1/20,-15.52
Industrial Production Index,6/1/20,-22.24
Mining and Quarrying,6/1/20,-23.23
Industrial Production Index,5/1/21,0.53
Manufacturing Industry,7/1/21,-9.25
Industrial Production Index,2019 / 01,-0.86
Mining and Quarrying,2019 / 01,2.60
Manufacturing Industry,2019 / 01,-8.93
Manufacturing Industry,7/1/20,-20.53
Manufacturing Industry,11/1/21,9.70
Industrial Production Index,2/1/23,5.96
Electricity Supply,2021 / 01,21.01
Industrial Production Index,2/1/21,-14.80
Electricity Supply,11/1/20,22.25
Industrial Production Index,12/1/20,-7.60
Manufacturing Industry,3/1/19,-16.82
Manufacturing Industry,7/1/19,-15.74
Electricity Supply,10/1/19,19.53
Electricity Supply,11/1/19,19.53
Industrial Production Index,12/1/19,-6.35
Electricity Supply,7/1/22,5.00
Manufacturing Industry,9/1/22,22.02
Electricity Supply,12/1/21,12.01
Manufacturing Industry,12/1/21,9.70
Manufacturing Industry,12/1/19,0.87
Electricity Supply,12/1/19,55.05
Industrial Production Index,2/1/22,22.30
Manufacturing Industry,2/1/22,14.34
Electricity Supply,2/1/22,11.42
Manufacturing Industry,3/1/22,22.00
Manufacturing Industry,5/1/22,28.80
Mining and Quarrying,12/1/22,4.14
Mining and Quarrying,2/1/20,-3.38
Electricity Supply,2/1/20,7.29
Electricity Supply,3/1/20,4.26
Mining and Quarrying,5/1/20,-11.98
Electricity Supply,3/1/21,-7.22
Mining and Quarrying,5/1/21,0.76
Industrial Production Index,7/1/21,5.87
Industrial Production Index,2/1/19,-2.04
Mining and Quarrying,7/1/20,-11.18
Industrial Production Index,9/1/20,-7.52
Mining and Quarrying,4/1/22,28.32
Manufacturing Industry,4/1/22,25.07
Electricity Supply,9/1/22,5.52
Industrial Production Index,2023 / 01,6.77
Manufacturing Industry,2/1/23,16.81
Mining and Quarrying,2/1/21,-16.50
Manufacturing Industry,12/1/20,-13.09
Electricity Supply,3/1/19,-2.32
Industrial Production Index,5/1/19,-9.00
Electricity Supply,6/1/19,-1.67
Manufacturing Industry,8/1/19,-12.22
Manufacturing Industry,9/1/19,-9.19
Manufacturing Industry,7/1/22,32.61
Mining and Quarrying,7/1/22,14.12
Industrial Production Index,8/1/22,16.80
Industrial Production Index,2022 / 01,11.12
Manufacturing Industry,11/1/22,19.67
Electricity Supply,12/1/22,-6.54
Industrial Production Index,2021 / 01,-6.89
Manufacturing Industry,2/1/20,-12.70
Industrial Production Index,3/1/20,-3.29
Mining and Quarrying,4/1/20,22.53
Electricity Supply,5/1/21,-13.69
Manufacturing Industry,6/1/21,-4.21
Electricity Supply,6/1/21,-10.89
Industrial Production Index,8/1/21,5.75
Electricity Supply,8/1/21,-4.01
Industrial Production Index,10/1/20,-13.51
Electricity Supply,6/1/22,-1.20
Manufacturing Industry,2/1/21,-11.34
Mining and Quarrying,12/1/20,-6.20
Mining and Quarrying,5/1/19,-3.59
Manufacturing Industry,6/1/19,-19.30
